Anyone can do that.	任何人都可以做到。
He came back from China.	他从中国回来了。
He spent the morning reading a book.	他花了一上午的时间看书。
Please wash it.	请清洗它。
Are you interested in politics?	你对政治感兴趣吗？
The doctor called him back.	医生把他叫了回来。
I really do want that.	我真的很想要它。
I can't imagine life on another planet.	我无法想象另一个星球上的生物。
At first, I had no idea why.	起初我不知道为什么。
Let's sing the song in English.	让我们唱英文歌曲。
Tom plays chess very well.	汤姆下棋下得很好。
I've heard the French version of this song.	我听过这首歌的法语版。
He's already a man.	他已经是个男人了。
My sleep was disturbed by the sound.	那声音搅了我的美梦。
You should have kept it secret.	你应该保密的。
Tom's funeral will be this weekend.	汤姆的葬礼订在这周末。
She gave birth to a baby boy.	她生下了一个男婴。
I'm used to getting up early.	我习惯早起。
She was out of Japan last year.	去年她离开了日本。
I was able to answer the question.	我能回答这个问题。
You won't need it.	你不会需要它。
Please take your seat.	请坐。
She put on socks.	她穿上袜子。
The boss has a good opinion of your work.	老板对你的工作有很高的评价。
It is more blessed to give than to receive.	赠与比接受更让人觉得幸福。
Dead men tell no tales.	死人不会告密。
Who died?	谁死了？
Life is fun.	人生是有趣的。
Tom is a good worker.	汤姆是个好工人。
She may have missed the 7:00 train.	她可能错过了七点的火车。
My father is an expert surgeon.	我父亲是一名外科专家。
He was paid 10,000 dollars.	有人付给他10000美元。
I'll give you anything but this.	除了这个之外我会给你任何东西。
They say that he will never return.	他们说他再也不会回来了。
She began crying.	她开始哭泣。
Today is my birthday.	今天是我的生日。
I am not frightened of anything.	我不害怕任何东西。
I will be free in ten minutes.	我十分钟后有空。
You have nothing to be sorry about.	你没什么可抱歉的。
These patients have trouble walking.	这些患者走路有困难。
Tom is older than I am.	汤姆年纪比我大。
This book isn't worth reading.	这本书不值得一读。
A bird is singing in the tree.	一只鸟正在树上唱歌。
I would rather stay at home than go out in this hot weather.	在这种暑天里我宁愿呆在家也不出去。
You should have known better than to take an examination without preparing for it.	你应该知道要为考试作准备。
The longer I stayed in Paris, the more I liked it.	在巴黎待得越久，我就越喜欢巴黎。
I always cry when I see this picture.	当我看到这张图片的时候总是哭。
I can cook you something if you're hungry.	要是你饿了，我能给你做饭。
She was a tall, thin girl with long, soft brown hair.	她是个又高又瘦, 留着一头又长又软的褐色头发的女孩。
She went to the Takasu clinic.	她去了高须诊所。
Her birthday party will be tomorrow evening.	她的生日宴会将在明天晚上。
Do you have enough food?	你有足够的食物吗？
The party was a success.	晚会很成功。
It's my job.	这是我份内的事。
Our supplies are running out.	我们的供给要用完了。
I attended the meeting yesterday.	昨天我出席了会议。
Tom is a fat man.	汤姆是个胖子
A cooking course should be mandatory in schools.	烹饪课程应该作为学校的必修课。
She put clean sheets on the bed.	她把干净的床单铺在床上。
I'm getting married next Sunday.	我下周日要结婚了。
There isn't any solution.	无解。
This is difficult.	这很难。
I've finished writing the letter.	我已经写完信了。
After a couple of drinks, the guy was feeling no pain.	喝了几杯酒后，这个家伙就感觉不痛了。
You may be late for school.	您上学可能会迟到。
He made me a suit.	他给我做了套衣服。
Don't believe what she says.	不要相信她说的话。
You should learn to control your emotions.	你应该学会控制自己的情绪。
I ordered the book from England.	我从英国订了这本书。
She cared for her father until his death.	她照顾她的父亲直到他去世。
Why did you leave the class yesterday?	您昨天为什么离开教室？
Do you know where he lives?	你知道他住在哪里吗？
I stayed up late last night.	我昨晚睡得晚。
Have you read today's paper yet?	你看过今天的报纸了吗？
He's afraid that he might be late.	他担心他可能会迟到。
I have nothing to do with the affair.	我跟这件事无关。
She gave me access to her records.	她允许了我对她的访问纪录。
I wanted to go there.	我想去那里。
Tom is going to help us.	汤姆要帮助我们。
What have you come here for?	你们来这儿干嘛？
He makes his living by singing.	他以唱歌为生。
The man behind them is playing the piano.	在他们身后的男人正在弹钢琴。
She's about the same height as you.	她大概跟你一样高。
Tom tried to stab me.	汤姆企图刺我。
She is poor, but she is happy.	她很穷，但是她很快乐。
They say that she was born in Germany.	他们说她是在德国出生的。
He asked for some money.	他要了一些钱。
How old are you?	你几岁?
He's afraid of snakes.	他害怕蛇。
Please be quiet.	请安静。
He is in trouble.	他有麻烦。
Don't you want to know the reason?	你不想知道原因吗？
My mother plays the piano well.	我的母亲钢琴弹得很好。
How far away is your school?	你的学校有多远？
She didn't like her husband drunk.	她不喜欢让自己丈夫喝醉。
Shut the door.	不要把门开着。
I saw Liz this morning.	今天早上我看到了利兹。
Where is your house?	你们家在哪？
Do you go to school on Sundays?	你周末去学校吗？
All you can do is trust one another.	你们除了信任对方，没什么要做的了。
I worked all this week.	这周我一直在工作。
He still hasn't answered my letter.	他还没回我的信。
He didn't listen to music.	他没有听音乐。
Since he has ambitions, he works hard.	因为他有野心，他很努力地工作。
Tell her that I am cooking dinner.	告诉她我在做晚饭。
Don't leave your work half finished.	别留着一半工作没干。
The party has been put off until next Tuesday.	聚会已经推迟到了下周二。
Don't quit your day job.	别辞掉你的正职。
I hope he will wait for me.	我希望他会等我。
I eat here.	我在这里吃。
I'll show you around the town.	我会带你逛逛这个镇。
If the car breaks down, we'll walk.	如果车子坏了，我们就走路。
Will you show me your photo album?	你能让我看看你的相簿吗？
They are watching a movie.	他们在看一部电影。
He never speaks unless spoken to.	除非有人跟他说话，他从来不说话。
I got him to paint the fence.	我让他油漆了这个栅栏。
Three voted against the idea.	有三票反对这主意。
He seldom writes to his father.	他很少写信给他父亲。
Tell me when to begin.	告诉我什么时候开始。
They made me go there alone.	他们让我独自去了那里。
I don't like English.	我不喜欢英语。
Everyone has strengths and weaknesses.	每个人都有他的长处和短处。
Please let me off at the next stop.	请在下一站让我下车。
You should look after the children from time to time.	你应该偶尔照顾孩子。
That's really nice.	真好。
A map helps us to know where we are.	地图帮助我们知道所在的位置。
He goes to London once a month.	他一个月去一次伦敦。
We have a big supermarket.	我们有一个大超市。
He left the house without saying goodbye.	他没说再见就离开了房子。
Tom is very important to me.	汤姆对我来说很重要。
I think about it often.	我经常想着它。
That boy is running.	那个男孩在跑步。
The show was very interesting. You should have seen it.	演出真的很有意思，你该去看看的。
At first, he could not speak English at all.	起初，他不会说英语。
I don't wash my hair in the morning.	我早上不洗头。
She and I are the same age.	她跟我同年。
Father is coming home tomorrow.	父亲明天就要回来了。
My father will kill me.	我爸会杀了我的。
Am I supposed to help Tom?	我该帮汤姆吗？
Do your gums bleed?	你的牙龈流血吗？
Please show me your bag.	请让我看看你的袋子。
It is important to help each other.	重要的是要互相帮助。
Don't you want to go out?	你不想出去吗？
If she had married you, she would be happy now.	如果她和你结婚了，她现在会很幸福。
This book is hard for me to read.	这本书对我来说很难读。
It makes no sense at all.	这没有任何意义。
I can't undo it.	我不能取消它。
Last year, he spent three months at sea.	去年他在海上度过了三个月。
Wine made here is very famous.	这里制造的葡萄酒非常有名。
Please move the desk to the left.	请把桌子向左移。
I believe you're honest.	我相信你是诚实的。
What he said is not true.	他说的话不是真的。
It's boring to wait for a train.	等火车很无聊。
She will be back within a week.	她一周之内会回来。
Our teacher made us clean the room.	我们老师要我们打扫这间房间。
Mary reminds me of my mother.	玛丽让我想起我母亲。
Please leave.	请你离开。
I'll admit I'm wrong.	我承认我错了。
Really?	你确定？
You can't drink seawater because it is too salty.	你不能喝海水，因为它太咸了。
I tried to listen to him carefully.	我试着仔细地听他说话。
I'm as tall as you.	我跟你一样高。
The blouse costs twelve libras.	这件衬衫卖十二英镑。
If you want to, you can use my car.	如果你愿意，你可以用我的车。
Do you think he did the job on his own?	你认为他是自己独立完成这份工的吗？
Everyone loves that place.	每一个人都喜欢那个地方。
I'll drop you off at the station.	我载你到车站。
He wrote down the telephone number.	他写下这个电话号码了。
I want a good dictionary.	我想要本好词典。
This is an exception to the rule.	这是一个例外。
She came to Tokyo when she was eighteen years old.	她18岁的时候来到东京。
She did nothing but cry all the while.	她一直哭哭啼啼。
He was laughed at by his friends.	他被他的朋友嘲笑了。
We go fishing from time to time.	我们时不时地去钓鱼。
"When will you be back?" "It all depends on the weather."	“你什么时候回来？”“这都要看天气。”
I'd like something to eat.	我想吃点东西。
You're not fast enough.	你不够快。
I went to the hospital to have my eyes tested.	我到医院去检查了眼睛。
We got to be friends.	我们交了朋友。
Tom is in the other room drinking vodka.	Tom在别的房间喝伏特加。
He is an expert at fishing.	他是个钓鱼专家。
I want you to stay a little longer.	我想让你再呆一会。
My husband reads the newspaper while eating breakfast.	我丈夫一边吃早餐一边读报纸。
Let me know if you need any help.	你需要帮助就让我知道。
He climbed Mt. Fuji.	他爬上了富士山。
My father is in good health.	我父亲身体很健康。
I mistook him for his brother.	我把他误认为是他的兄弟。
Stay calm.	保持冷静。
I can't remember how to go there.	我不记得怎么去那里了。
Tom's the only guy in this class.	汤姆是这个班级里唯一的男生。
He has a wife and two young children to provide for.	他有一个妻子和两个孩子要养活。
I want to drive.	我想开车。
I admit this may not be the best way of doing it.	我承认这可能不是最好的方法。
It's a long way to the station.	到车站的路程很远。
"We haven't seen each other since 2009." "Has it been that long?"	“我们从2009年起就没见过面。”“有那么久吗？”
Let me go alone.	让我一个人去。
They are talking in the kitchen.	他们正在厨房里说话。
I have a bit of bad news.	我有个坏消息。
"She likes music." "So do I."	“她喜欢音乐。”“我也是。”
Do you like juice?	你喜欢果汁吗？
Say it clearly.	说清楚。
Please tell me what I should do.	请告诉我应该做什么。
Which goes faster, a ship or a train?	船和火车哪个跑得快？
All at once, I heard a cry.	突然，我听到了一声喊叫。
The two men were business partners.	这两个男人是生意上的合作伙伴。
My home is far away.	我家很远。
He didn't hear his name called.	他没听见有人叫他的名字。
It's not polite to point at others.	用手指别人是不礼貌的。
Do you like Japanese food?	你喜欢日本料理吗?
I had a pleasant dream last night.	我昨晚作了一个好梦。
My father will come home at seven.	我爸爸会在七点钟回家。
He goes to bed at eight o'clock.	他八点上床睡觉。
Definitely!	必须的！
The matter has not been settled yet.	问题还没有解决。
Your chair is identical to mine.	你的椅子和我的很像。
That boy denies stealing the bicycle.	那个男孩否认偷了自行车。
We're going to eat a lot tonight so I hope you're not on a diet.	我们今晚会吃很多，所以我希望你没有在节食。
Cancer can be cured easily if it is found in its first phase.	癌症如果在第一阶段被发现的话是很容易治愈的。
Everybody says I look like my father.	每个人都说我看起来像我爸爸。
Tom began to learn French about three years ago.	汤姆大约三年前开始学法语。
Is it always a sin to tell a lie?	说谎总是一种罪吗？
She has attractive eyes.	她有一双迷人的眼睛。
The horse is a useful animal.	马是种很有用的动物。
Please continue.	请继续。
We need an ambulance.	我们需要一辆救护车。
What is the name of that river?	这条河叫什么名字?
She woke him up.	她把他叫醒了。
I have a good appetite today.	我今天的食欲很好。
He is independent of his parents.	他独立于他的父母。
What have you done with my pen? It was here a minute ago.	你把我的钢笔怎么了? 一分钟前它还在这里。
What's the local time in Tokyo now?	现在东京当地时间是几点钟？
Call an ambulance.	叫救护车。
What is the ultimate purpose of education?	教育的最终目的是什么？
Maybe we should talk.	大概我们需要交谈。
He failed to pass his driving test.	他没有通过他的驾驶考试。
I have a car.	我有一辆车。
Tom is interested in mountaineering.	汤姆对登山感兴趣。
I'm going to go tell Tom.	我要告诉汤姆。
That's a great poem.	这是一首很棒的诗。
The food isn't very good here.	这里的食物不是很好。
The recent shortage of coffee has given rise to a lot of problems.	近来咖啡的短缺造成了许多问题。
That's very sweet of you.	您真是太好了。
Everyone in the room checked their watches at the same time.	房间里的所有人都同时看了看自己的手表。
I have so many clothes I don't know what to wear tomorrow.	我有那么多衣服，以至于我不知道明天穿什么了。
I think it's time for me to buy a house.	我想我该是时候买间房子了。
He looks like an honest man.	他看起来忠厚老实。
We watched them play baseball.	我们看着他们打棒球。
He isn't at home.	他不在家。
Wherever she goes, she is well liked.	无论她去哪里，她都是惹人喜爱的。
I really like him, but not his circle of friends.	我真的很喜欢他, 可是我不喜欢他周围的朋友。
A little knowledge is a dangerous thing.	只有一点点的知识是危险的事。
You should have visited Kyoto.	你应该参观京都的。
He is the manager of the marketing department.	他是营销部的负责人。
We met her by accident.	我们偶然碰到了她。
She made me a cake.	她为我做了一个蛋糕。
Even if I were rich, I wouldn't give him money.	就算我富有，我也不会给他钱。
Great progress has been made.	已经取得巨大进展。
I didn't play tennis yesterday.	我昨天没有打网球。
I'm going to go sit down.	我要坐下。
Why do you want to study abroad?	为什么你想到外国读书？
If you need a pen, I'll lend you one.	如果你需要笔的话，我借你一支。
He was standing at the street corner.	他站在街角。
Did he tell you what to do?	他告诉过你要做什么吗？
What's wrong with you?	你到底怎么回事啊？
They supplied the soldiers with enough food and water.	他们给士兵提供了充足的食物和水。
Only adults may watch that film.	只有成人可以看那种电影。
I wouldn't be too surprised if this song became a hit.	如果这歌成名，我不会太惊讶。
There's no membership fee for joining.	参加不用会员费。
They are high school students.	他们是高中生。
He was elected mayor.	他被选为市长。
The motel can accommodate as many as 400 guests.	汽车旅馆可以接待多达400名客人。
There is a bank in front of the station.	车站前有个银行。
He owes his success both to working hard and to good luck.	他的成功要归结于他的辛勤工作和好运气。
My apartment is near here.	我的公寓在这附近。
Winter is my favorite season.	冬天是我最喜欢的季节。
What is that?	那是什么？
There are 30 students in our class.	我们班有三十名学生。
I'm not so brave.	我没那么勇敢。
Do you like it?	你喜欢吗？
We go out together every weekend.	我们每个周末都一起出去。
You don't like gambling, do you?	你不喜欢赌博，是吗？
I can swim across the river.	我能游泳过河。
This river is dangerous for children to swim in.	孩子在这条河里游泳太危险了。
Don't be so careless!	别这么粗心！
I thought that he would come.	我以为他会来的。
I'll open the window a bit.	我把窗户打开一点。
There seem to be several reasons for his failure.	他的失败看来有几个原因。
My shoes are bigger than yours.	我的鞋比你的大。
He crossed the river in a small boat.	他乘小船过河。
I am playing the piano now.	我现在正在弹钢琴。
He couldn't get the job.	他无法得到这份工作。
Keep the money in a safe place.	把钱保存在安全的地方。
I got up at six-thirty this morning.	我今天早上六点半起床。
I am a Hyogo University student.	我是个兵库大学的学生。
Wash your feet.	洗你的脚。
Let's do it another time.	再找时间吧。
Breakfast is from seven to nine.	早餐时间在七点到九点。
Could you tell me where I can get a bus?	你能告诉我能在哪里上公交车吗？
Is that pure gold?	那是纯金吗？
I have a lot of problems at the moment.	目前我问题很多。
Islam first reached China about the middle of the 7th century.	伊斯兰教大约在七世纪中传到中国。
There are exceptions to every rule.	每条规则都有例外。
When will you leave?	你什么时候离开？
You can eat whatever you like.	你可以吃你喜欢的东西。
I want a quart of milk.	我要一夸脱的牛奶。
Could you say that one more time?	你能再说一次吗？
We gave him up for dead.	我们为死者放弃了他。
We aren't afraid of death.	我们不怕死。
My fingers are so numb with cold that I can't play the piano.	我的手指冻僵了，以至于无法弹钢琴了。
It happened a long time ago.	这事发生在很多年以前。
Is it safe to eat cockroaches?	吃蟑螂安全吗？
We have a 20% share of the market.	我们的市场占有率为20%。
Tom broke some bones in his arm and hand.	汤姆的手臂和手断了些骨头。
I am afraid of dying.	我怕死。
Ten houses were burned down.	十间房屋被烧毁了。
That dress looks good on you.	那条连衣裙很适合您。
Will you mail this letter for me?	你可以帮我寄这封信吗?
My room looks out on the street.	从我的房间望出去是街道。
How did Tom get out of jail?	汤姆是如何出狱的？
You don't need to study today.	你今天不必读书。
His plan is dangerous!	他的计划是危险的！
He went to America to study medicine.	他去美国学医了。
The reporter criticized the politician.	记者批评了政治家。
The cat is under the table.	猫在桌子底下。
Come again any time.	随时再来。
I speak Swedish.	我说瑞典语。
She looks very elegant.	她看上去十分优雅。
May I go to the movies tonight?	我今晚可以去看电影吗?
Watch out! There's a big hole there.	小心！在那里有一个大洞。
Do you happen to know his name?	你说不定知道他的名字？
This is the house where he lived.	这是他住的房子。
The dog is blind in one eye.	这只狗的一只眼睛瞎了。
I made my way through the crowd.	我穿过了人群向前走。
Tom has lived here since 2003.	汤姆自从2003年就住在这里。
I still live at my dad's place.	我还住在我父亲的房子里。
I am leaving next week.	我下个星期离开。
Tom likes it hot.	汤姆喜欢热的。
We talked until two in the morning.	我们聊到凌晨两点。
I'm at home.	我在家。
Tom is taller than his mother.	汤姆比他的母亲高。
It has been raining for two days.	已经下了两天的雨。
I only want to know the facts.	我只想知道事实。
She divorced her husband.	她与丈夫离婚。
Tom knows many French songs.	汤姆知道许多法语歌。
I'll clean up the kitchen later.	我等一下将清理厨房。
I have what you need.	我有你需要的。
Tom didn't take his shoes off.	汤姆没脱鞋。
May I ask a question?	我能问个问题吗？
My father often goes to America on business.	我爸爸经常去美国出差。
Everyone was fine.	大家都还行。
Never be afraid of making mistakes.	不要害怕犯错。
Which credit cards can I use?	我可以用哪些信用卡？
See you then.	到时候见。
She twisted her ankle while she was doing exercise.	她锻炼时扭伤了脚踝。
"Thanks, guys." "Don't mention it."	“谢谢你们。” “不用谢。”
Japan relies on Arab countries for oil.	日本靠阿拉伯国家提供石油。
Let me think about it.	让我想一想。
When were you planning on telling Tom about what happened?	你准备啥时候告诉Tom发生了什么
Do you like black cats?	你喜欢黑色的猫吗？
I'll call you.	我会打电话给你。
I have a lot of homework.	我有很多功课。
She was visibly afraid to be here.	显然她害怕待在这里。
She is a native speaker of French.	她的母语是法语。
It is believed that whales have their own language.	人们相信鲸有他们自己的语言。
Are you feeling under the weather?	你感觉不舒服吗？
It is really cheap.	它真的很便宜。
He is lacking in experience.	他缺乏经验。
I found the work very interesting.	我觉得这个工作非常有趣。
I gave my cold to him.	我的感冒传染了他.
We would like you to come to our party.	我们希望你来我们的聚会。
I overslept.	我睡过头了。
He often goes abroad on business.	他经常出国洽商。
Tom is looking for a good job.	汤姆在找工作。
Let me in.	让我进去。
What's the width of this road?	这条路的宽度是多少？
There are some eggs in the box.	盒子里有一些蛋。
Do you trust her?	你相信她吗?
It was a long letter.	它是封长信。
I'm breast-feeding my baby.	我喂我的孩子母乳。
You don't need to hurry.	你不必着急。
What are you doing down there?	你在那里干什么？
He is watching TV.	他在看电视。
It came to nothing.	这没有结果。
Father always says, "Do your best."	父亲总是说"你尽力而为。"
He goes to Karuizawa every year.	他每年都去轻井泽。
The teacher got quite well again.	老师再次恢复健康了。
She is fond of animals.	她很喜欢动物。
The cat arched its back and stretched itself.	猫弓起背，伸了个懒腰。
Your plan sounds great.	你的计划听起来很不错。
I am in touch with him.	我与他联系。
It's worth the wait.	它是值得等待的。
Please fill out this form first.	请先填写这张表格。
You should put your coat on.	你应该把大衣穿上。
In case of fire, push the button.	万一发生火灾，按下按钮。
She'll almost certainly pass the test.	她几乎确定会通过测验。
This is your key.	这是您的钥匙。
They left there the day before yesterday.	前天，他们离开了那儿。
It's great.	真是太好了。
I talked to friends.	我和朋友们交谈。
I heard someone in the crowd outside the station call my name.	我听到车站外的人群中有人在叫我的名字。
The soldier groaned with pain.	这名士兵痛苦地呻吟。
Tom wished he hadn't borrowed the book from Mary.	汤姆希望他没有从玛丽那里借书。
Tennis is very popular among students.	网球在学生中非常流行。
Do you like playing volleyball?	你喜欢打排球吗？
To the man who only has a hammer in the toolkit, every problem looks like a nail.	对工具箱里只有一把榔头的人来说，所有的问题都像钉子。
I like this color, too.	我也喜欢这个颜色。
I found her letter in the mailbox.	我在信箱中发现了她的信。
Do you need help carrying anything?	你需要帮忙拿东西吗?
This is just what I wanted.	我想要的就是这个。
This stone is too heavy to lift.	这块石头太重了无法抬起来。
"Did he write a letter yesterday?" "Yes, he did."	"他昨天写了一封信吗?" "是的, 他写了。"
Perhaps Tom is too old to do this kind of thing.	也许Tom年纪太大，不适合做这件事。
Everyone knows me.	大家都认识我。
He lives just across the road.	他就住在马路对面。
Tom is my friend.	汤姆是我的朋友。
My father grows rice.	我爸种水稻。
It's a matter of life and death.	这是一个生和死的问题。
I know how old you are.	我知道你多大了。
I'm looking for a warm, woolen skirt.	我想找一件温暖的羊毛裙。
He doesn't know how to write a letter in English.	他不知道如何用英语写信。
I'll be there right away.	我马上到那里。
I'm trying to think of better plan.	我试着考虑更好的计划。
He likes playing soccer.	他喜欢踢足球。
I left the window open all through the night.	我整晚都开着窗户。
Tom hasn't talked to Mary in years.	汤姆多年没有和玛丽说话了。
The museum is open from Monday to Friday.	博物馆周一到周五开门。
Why should you think that?	为什么你对于这个有这样的想法？
It's impolite to stare at people.	盯着人看是不礼貌的。
My grandfather lived a long life.	我的祖父很长寿。
Our school is very close to the park.	我们学校离公园非常近。
He is afraid of getting lung cancer.	他怕得到肺癌。
I have no time.	我没时间。
Come on, let's go.	来吧，我们一起去。
I haven't seen him since then.	从那时起我就没有看到他。
Please say it more loudly.	请说更大声一点。
Sooner or later his luck will run out.	迟早他的运气会用完。
It is our obligation to help.	帮助是我们的义务。
Tom's hands are shaking.	汤姆的手在颤动。
He waited for me until I arrived.	他等我直到我来。
He was leaning against the wall.	他靠着墙。
He didn't agree to my proposal.	他不同意我的建议。
I have two daughters and two sons.	我有两个女儿和两个儿子。
He's started looking for a job.	他开始找工作了。
I felt as if I were in a dream.	我感觉就像做梦一样。
I am waiting for the store to open.	我正等着这家店开门。
Can I speak with the teacher?	我能和老师说话吗？
He has decided to become a teacher.	他已经决定要成为一名教师。
We have to continue to do our jobs.	我们要继续我们的工作。
Our friend finished the race in second place.	我们的朋友完成了比赛，得了第二名。
Good luck on the test!	祝考试好运!
It's only two miles to the village.	到村庄只有两英里。
I come from England.	我来自英国。
Mt. Fuji as seen from Suruga Bay is beautiful.	从骏河湾看, 富士山很美丽。
My parents won't let me go out with boys.	我父母不让我和男生约会。
It wasn't my fault.	那不是我的错。
The prisoner was brought before a judge.	这个囚犯被带到法官面前。
Tom hit a triple.	汤姆击出三垒安打。
You can get a loan from a bank.	你可以从银行贷款。
He gave her a piece of advice.	他给了她一个忠告。
Shouting at your computer will not help.	对你的计算机吼一点帮助也没有。
He towers above the rest of the class.	他在班上出类拔萃。
Generally, Japanese people are shy.	一般而言，日本人很害羞。
For some reason the microphone didn't work earlier.	刚才我的麦克风没起作用，不知道为什么。
I need to know.	我需要知道。
The rain is beating against the windows.	雨点打着窗户。
Was that what Tom said?	那就是汤姆说的吗？
Do you believe in ghosts?	你相信有鬼魂吗？
My father likes strong coffee.	我父亲喜欢浓咖啡。
The children slid down the bank.	孩子们滑下岸边。
Some people like volleyball, others enjoy tennis.	有些人喜欢排球，其他人喜欢网球。
Where's the boss?	老板在哪里？
Where does it hurt?	哪里疼?
He likes to listen to the radio.	他喜欢听收音机。
A year has twelve months.	一年有十二个月。
Tom doesn't like doing homework.	汤姆不喜欢做作业。
Everyone was drunk.	所有人都喝醉了。
I'll let you decide.	我让你来决定。
Did you play baseball yesterday?	你昨天打棒球了没有？
Old people often talk to themselves.	老人时常自言自语。
Thanks for telling me the truth.	感谢告诉我真相。
They are leaving Japan tomorrow.	明天他们将离开日本。
I don't know her.	我不认识她。
Who do you think they were?	你认为他们是谁？
Be respectful to your superiors, if you have any.	如果你有上司的话，学会尊敬他（她）。
I didn't mean to do that.	我不是故意那样做。
I am married and have two children.	我结婚了，而且有两个孩子。
Mary isn't really sick. She's only pretending to be sick.	玛丽不是真病。她只是装病。
The entire sales staff has worked around the clock for a week.	全体销售人员通宵达旦地工作了一周。
A fox is not caught twice in the same snare.	一只狐狸不会两次掉入同一个陷阱里。
Tom checked the TV schedule to see what was on.	汤姆检查电视时间表，看看在上映什么。
What are you guys going to do?	你们这些家伙想去干什么？
It was a terrible day.	这是糟糕的一天。
Tom won't even know what you did until it's over.	汤姆不到最后不会知道你做了什么。
What did you tell your boss?	你跟你的老板说什么了？
You are always complaining.	你总是在抱怨。
Some people eat sushi with their hands.	一些人用手吃寿司。
Please leave me alone.	请让我静一静。
Tom left his umbrella on the bus.	汤姆把伞落在了巴士上。
My father loves pizza.	我父亲爱吃比萨。
I wonder if I can do it again.	我不知道我能不能再做一次。
He is too drunk to drive home.	他喝酒醉无法开车回家。
Hands off.	手举起来。
I saw him sawing a tree.	我看见他正在锯一棵树。
I have a dream.	我有一个梦想。
Hands up! This is a robbery.	把手举起来！这是抢劫。
I thought Tom had a soccer game tonight.	我以为汤姆今晚有足球比赛。
The movie received mixed reviews.	影片得到的评价褒贬不一。
Somebody must care for the patient.	一定要有人照顾病人。
Stay there.	留在这里别动。
They are arriving here soon from Hong Kong.	他们就快从香港抵达了。
Do they learn English?	他们学习英语吗？
She lived up to our expectations.	她没有辜负我们的期望。
I'm very worried about my weight.	我很担心我的体重。
I want to travel around the world.	我要环游世界。
Everyone can't afford a car.	每个人都买不起车。
Lots of companies have implemented an eight-hour working day.	很多公司实行8小时工作制。
You're lucky to have such a good job.	你很幸运能有这么好的工作。
As is evident from the data, smoking is not decreasing among the young.	数据表明年轻人抽烟的现象没有减少。
Are we allowed to take pictures here?	这里允许拍照吗？
My sister has a nice piano.	我妹妹有架漂亮的钢琴。
I have a high temperature.	我发烧了。
Open your mouth!	把嘴张开！
I was puzzled about what to do next.	我对以后做什么很迷茫。
That car is quite new.	那辆车十分新。
That's very big.	那是很大的。
I'll think it over carefully.	我会深思熟虑。
She was washing the dishes.	那时她正在洗碗。
How can you say that?	你怎么能那么说？
It seems very interesting.	它似乎很有趣。
What did you answer?	你回答了什么？
Please move your bicycle out of here.	请将您的自行车移出这里。
Tom studies philosophy at college.	汤姆在大学里学的是哲学。
We hear with our ears.	我们用耳朵听。
Please let me know what you want.	请让我知道你要什么。
She doesn't have the ticket.	她没有票。
I avoid discussing personal subjects with my boss.	我避免跟老板讨论个人话题。
There is a cat in the kitchen.	厨房里有一只猫。
Have you heard from him recently?	你最近有他的消息吗？
Please translate this sentence into Japanese.	请把这句话翻译成日文。
In my opinion, he is correct.	在我看来，他是有道理的。
I wish Tom would just go away.	我希望汤姆走开。
Tom sold Mary his car.	汤姆把他的汽车卖给了玛丽。
It happens occasionally.	它偶尔会发生。
Don't let him hit you.	别让他打到你。
I wonder who has come.	我想知道谁来了。
Please wrap it up.	请包起来。
Banks open at nine o'clock.	银行九点开门。
I'm glad I was there.	我很高兴我在那里。
You seem very nervous.	你看起来很紧张。
It's almost time to go to bed.	差不多是就寝的时间了。
Where do you suppose you'll spend your vacation?	你认为你会到哪儿度假？
Are you having problems?	你有问题吗？
I'd like your help.	我想请你们帮个忙。
I'm free now.	我现在有空了。
I have to go to bed.	我该上床了。
He plays the guitar well.	他吉他弹得很好。
I wish I knew where he was!	但愿我知道他在哪里。
Is this your notebook?	这是你的书吗？
The buses run every ten minutes.	公共汽车每10分钟一班。
How about playing tennis?	打网球怎么样？
He gave me a smile of recognition.	他给了我一个认可的微笑。
How did you find my house?	你怎么找到我的房子的？
Edison invented the electric lamp.	爱迪生发明了电灯。
Will he be able to come tomorrow?	他明天能来吗？
In the case of fire, dial 119.	遇到火警时，拨打119。
Are you free on Tuesday?	周二你有空吗？
Can you tell me what this is?	你能告诉我这是什么吗？
The patient is steadily recovering.	这个病人正在稳定地康复中。
Only a few people understood me.	只有一些人了解我。
It's been a long war.	这是场长久的战争。
It's very hot today, isn't it?	今天非常热，不是吗?
I keep the master copy under lock and key.	我妥善保管原版拷贝。
Tom had a drink in his hand.	汤姆手里拿着饮料。
Both of my sisters are married.	我的两个姐妹都结婚了。
The red flag indicated the presence of danger.	红旗代表存在危险。
I can't give up smoking.	我无法戒烟。
Tell us what to do next.	告诉我们下一步该怎么做。
But you're not there.	但你不在那里。
Language is the means by which people communicate with others.	语言是人们与他人交流的手段。
May I have a talk with you?	我能和你谈谈吗？
Both French and English are spoken in Canada.	在加拿大的人说法语和英语。
Don't let the dog in.	别让狗进来。
That's the man who lives next door.	那是住在隔壁的男人。
I didn't do anything.	我什么事都没有做。
I asked the boy to throw the ball back.	我请这个男孩把球扔回来。
He made a speech in plain English.	他用浅显的英语演讲。
It is unfortunately true.	可惜这是真的。
He asked me questions similar to those asked by many others.	他和许多其他人一样问了我同样的问题。
That's enough money to cover the expenses.	那些钱足够支付费用。
I can't bear the sight of him.	我受不了他的视线。
